[follow_user_motion_node.py-1] [INFO] [1762592191.999283041] [follow_user_motion_node]: Executing goal for user: user_1
[follow_user_motion_node.py-1] [INFO] [1762592212.010110620] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.20, 0.19), Robot(4.20, 0.19, 7.52 deg), Heading error: -7.52 deg, target_vel(0.50, -13.09), cmd_vel(0.08, 0.23)
[follow_user_motion_node.py-1] [INFO] [1762592212.066932433] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.20, 0.19), Robot(4.20, 0.19, 8.18 deg), Heading error: -8.18 deg, target_vel(0.50, -14.23), cmd_vel(0.10, 0.20)
[follow_user_motion_node.py-1] [INFO] [1762592212.123298833] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.21, 0.19), Robot(4.21, 0.19, 8.76 deg), Heading error: -8.76 deg, target_vel(0.50, -15.23), cmd_vel(0.10, 0.20)
[follow_user_motion_node.py-1] [INFO] [1762592212.170970839] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.21, 0.19), Robot(4.21, 0.19, 9.40 deg), Heading error: -9.40 deg, target_vel(0.50, -16.33), cmd_vel(0.09, 0.17)
[follow_user_motion_node.py-1] [INFO] [1762592212.235899590] [follow_user_motion_node]: Update 30-point path with the last point: (5.00, 0.36)
[follow_user_motion_node.py-1] [INFO] [1762592212.236534245] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.21, 0.19), Robot(4.21, 0.19, 9.88 deg), Heading error: -9.88 deg, target_vel(0.50, -17.15), cmd_vel(0.09, 0.17)
[follow_user_motion_node.py-1] [INFO] [1762592212.271964584] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.22, 0.19), Robot(4.22, 0.19, 10.47 deg), Heading error: -10.47 deg, target_vel(0.50, -18.17), cmd_vel(0.10, 0.14)
[follow_user_motion_node.py-1] [INFO] [1762592212.324032671] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.22, 0.19), Robot(4.22, 0.19, 11.01 deg), Heading error: -11.01 deg, target_vel(0.50, -19.10), cmd_vel(0.10, 0.14)
[follow_user_motion_node.py-1] [INFO] [1762592212.373774843] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.23, 0.19), Robot(4.23, 0.19, 11.45 deg), Heading error: -11.45 deg, target_vel(0.50, -19.84), cmd_vel(0.11, 0.13)
[follow_user_motion_node.py-1] [INFO] [1762592212.420985766] [follow_user_motion_node]: _pure_pursuit_control: carrot_pose(4.23, 0.19), Robot(4.23, 0.19, 11.81 deg), Heading error: -11.81 deg, target_vel(0.50, -20.47), cmd_vel(0.11, 0.13)
